time,node,speed_kmh,flow_vpm
2025-08-01T00:05:00,65,107.07090236152126,266.6
2025-08-01T00:05:00,84,106.71235514074074,24.0
2025-08-01T00:05:00,86,106.71235514074074,24.0
2025-08-01T00:05:00,87,103.6408351599034,26.4
2025-08-01T00:05:00,89,109.5570396969697,13.8
2025-08-01T00:05:00,94,106.19182256314048,297.0
2025-08-01T00:05:00,95,109.16869898749944,300.2
2025-08-01T00:05:00,105,88.9691588446602,26.400000000000002
2025-08-01T00:05:00,106,100.67309203676471,22.8
2025-08-01T00:05:00,107,107.92426663706563,14.4
2025-08-01T00:05:00,108,105.9936083076923,17.2
2025-08-01T00:05:00,109,108.41549880092592,11.8
2025-08-01T00:05:00,111,108.7902966081081,13.8
2025-08-01T00:05:00,113,104.91823906666669,6.0
2025-08-01T00:05:00,122,108.5199618872964,135.0
2025-08-01T00:05:00,123,108.4601667432753,240.2
2025-08-01T00:05:00,125,107.68003988680755,306.4
2025-08-01T00:05:00,133,99.2570801780166,112.8
2025-08-01T00:05:00,134,105.61254411839373,72.39999999999999
2025-08-01T00:05:00,142,103.12995578571429,23.4
2025-08-01T00:05:00,152,107.12870550089062,390.59999999999997
2025-08-01T00:05:00,154,106.12203544543732,129.6
2025-08-01T00:05:00,155,106.86886395494336,184.4
2025-08-01T00:05:00,162,107.35827521236216,149.6
2025-08-01T00:05:00,163,110.29218711627908,34.4
2025-08-01T00:05:00,181,107.88276884309653,1486.6
2025-08-01T00:05:00,182,106.46372384112502,1040.6
2025-08-01T00:05:00,183,108.32484953585774,96.6
2025-08-01T00:05:00,184,109.79963567549898,221.2
2025-08-01T00:05:00,191,107.05716571745492,184.4
2025-08-01T00:05:00,192,106.64306217925241,108.2
2025-08-01T00:05:00,210,105.50886294204892,122.80000000000001
2025-08-01T00:05:00,211,106.7715607701909,131.2
2025-08-01T00:05:00,212,107.49689371523708,526.6
2025-08-01T00:05:00,213,106.1363317916409,825.0
2025-08-01T00:05:00,214,105.95084538593933,939.8
2025-08-01T00:05:00,215,106.50774233226535,445.6
2025-08-01T00:05:00,216,107.61926635237049,125.8
2025-08-01T00:05:00,217,107.59744185089724,324.4
2025-08-01T00:05:00,218,109.44673469410854,157.79999999999998
2025-08-01T00:05:00,219,106.17280451804073,89.0
2025-08-01T00:05:00,220,107.63806685540949,80.0
2025-08-01T00:05:00,240,106.60679749737088,751.0
2025-08-01T00:05:00,241,106.04989748248882,1104.0
2025-08-01T00:05:00,242,107.72846999334887,1115.0
2025-08-01T00:05:00,243,105.79841302122973,597.6
2025-08-01T00:05:00,244,106.14110130760714,281.0
2025-08-01T00:05:00,245,107.25208556603613,354.2
2025-08-01T00:05:00,246,106.19364256219949,267.4
2025-08-01T00:05:00,270,108.0088931443731,782.6
2025-08-01T00:05:00,271,106.10495964502158,1203.2
2025-08-01T00:05:00,272,107.38105326576239,1391.6
2025-08-01T00:05:00,273,108.53971150750687,414.4
2025-08-01T00:05:00,274,106.60009477157422,1164.2
2025-08-01T00:05:00,275,107.84566276683725,429.0
2025-08-01T00:05:00,300,93.09045937355303,151.0
2025-08-01T00:05:00,301,106.11782162467831,758.8000000000001
2025-08-01T00:05:00,302,106.61504975488079,1146.4
2025-08-01T00:05:00,303,106.73612153365943,1056.8
2025-08-01T00:05:00,304,106.27038153396704,391.8
2025-08-01T00:05:00,305,99.53225567554858,20.4
2025-08-01T00:05:00,332,100.36386704413637,81.80000000000001
2025-08-01T00:05:00,333,107.52190179235596,417.8
2025-08-01T00:05:00,362,108.51194759319345,179.6
2025-08-01T00:05:00,392,111.68341578217824,20.2
2025-08-01T00:05:00,393,108.43354252987524,190.8
2025-08-01T00:05:00,423,107.18104595968992,40.4
2025-08-01T00:05:00,424,107.18104595968992,20.2
2025-08-01T00:05:00,454,107.07173155883076,94.0
2025-08-01T00:05:00,484,105.7903687123623,36.2
2025-08-01T00:05:00,485,104.10715008086373,32.8
2025-08-01T00:05:00,545,110.73396836896552,21.6
2025-08-01T00:05:00,575,103.72793644311224,35.6
2025-08-01T00:05:00,576,108.86468212181816,23.2
2025-08-01T00:05:00,606,108.6271503280522,26.4
2025-08-01T00:05:00,607,111.72187986046512,16.2
2025-08-01T00:05:00,608,113.3839635185185,16.200000000000003
